v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,"Sorry, I'll call later in meeting.",,,
ham,It certainly puts things into perspective when something like this happens,,,
spam,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!",,,
ham,Hi..i got the money da:),,,
ham,Lol they were mad at first but then they woke up and gave in.,,,
ham,Why tired what special there you had,,,
ham,Where you. What happen,,,
ham,No need to buy lunch for me.. I eat maggi mee..,,,
ham,"Not much, just some textin'. How bout you?",,,
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,
ham,Mm i am on the way to railway,,,
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",,,
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,,,
ham,R u here yet? I'm wearing blue shirt n black pants.,,,
ham,Hello madam how are you ?,,,
ham,I keep ten rs in my shelf:) buy two egg.,,,
ham,Quite late lar... Ard 12 anyway i wun b drivin...,,,
ham,"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that! ",,,
ham,Me too! Have a lovely night xxx,,,
ham,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home.",,,
ham,I am late. I will be there at,,,
ham,Auntie huai juan never pick up her phone,,,
ham,Ok lor Ì_ reaching then message me.,,,
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,,,
ham,I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...,,,
ham,Yes. Nigh you cant aha.,,,
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,,,
ham,Ok. There may be a free gym about.,,,
ham,No da. . Vijay going to talk in jaya tv,,,
ham,Give me a sec to think think about it,,,
spam,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp å£1.50/msg,,,
ham,We're done...,,,
ham,Hi dude hw r u da realy mising u today,,,
ham,Okie,,,
spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,,,
ham,"I want to show you the world, princess :) how about europe?",,,
ham,Yeah that'd pretty much be the best case scenario,,,
spam,FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop,,,
ham,You do your studies alone without anyones help. If you cant no need to study.,,,
ham,Call him and say you not coming today ok and tell them not to fool me like this ok,,,
ham,Then Ì_ wait 4 me at bus stop aft ur lect lar. If i dun c Ì_ then i go get my car then come back n pick Ì_.,,,
ham,Juz go google n search 4 qet...,,,
ham,Hanging out with my brother and his family,,,
ham,Yupz... I've oredi booked slots 4 my weekends liao... ,,,
ham,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.",,,
ham,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",,,
ham,My birthday is on feb  &lt;#&gt;  da. .,,,
ham,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.",,,
ham,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol,,,
ham,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,,,
ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.",,,
ham,Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!,,,
ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,,,
ham,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,,,
ham,You busy or can I come by at some point and figure out what we're doing tomorrow,,,
ham,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,,,
ham,WHORE YOU ARE UNBELIEVABLE.,,,
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",,,
ham,Shant disturb u anymore... Jia you...,,,
ham,Guess he wants alone time. We could just show up and watch when they do..,,,
ham,Detroit. The home of snow. Enjoy it.,,,
spam,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,,,
ham,No need to ke qi... ÌÏ too bored izzit y suddenly thk of this...,,,
ham,"Machan you go to gym tomorrow,  i wil come late goodnight.",,,
ham,"I can't right this second, gotta hit people up first",,,
ham,Please dont say like that. Hi hi hi,,,
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just å£1.50 per wk 2 opt out send STOP 08452810071 16,,,
ham,"I call you later, don't have network. If urgnt, sms me.",,,
ham,Sent me de webadres for geting salary slip,,,
ham,Watching tv lor...,,,
ham,"Sorry, I'll call later",,,
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only,,,
ham,"Like  &lt;#&gt; , same question",,,
ham,Yes.mum lookin strong:),,,
spam,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!",,,
ham,Aight what time you want me to come up?,,,
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,,,
ham,Call me when u're done...,,,
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records.",,,
ham,Thanx a lot...,,,
ham,Am okay. Will soon be over. All the best,,,
ham,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,,,
ham,Erm. I thought the contract ran out the4th of october.,,,
ham,Yes just finished watching days of our lives. I love it.,,,
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,,,
ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",,,
ham,Let me know if you need anything else. Salad or desert or something... How many beers shall i get?,,,
ham,Spoons it is then okay?,,,
ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",,,
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,,,
ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,,,
ham,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...,,,
spam,"URGENT! Your mobile No 077xxx WON a å£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm",,,
ham,You didnt complete your gist oh.,,,
ham,No just send to you. Bec you in temple na.,,,
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),,,
ham,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!,,,
ham,Now only i reached home. . . I am very tired now. . I will come tomorro,,,
ham,Hey anyway i have to :-),,,
spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O å£250 3 WANT å£800,,,
ham,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy,,,
ham,This is all just creepy and crazy to me.,,,
ham,"We made it! Eta at taunton is 12:30 as planned, hope thatÛ÷s still okday?! Good to see you! :-xx",,,
ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea",,,
ham,Alex says he's not ok with you not being ok with it,,,
ham,Hi neva worry bout da truth coz the truth will lead me 2 ur heart. ItåÕs the least a unique person like u deserve. Sleep tight or morning,,,
ham,"Yeah, we got one lined up for us",,,
ham,Full heat pa:-) i have applyed oil pa.,,,
ham,U in town alone?,,,
ham,R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE,,,
ham,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?,,,
ham,MMM ... Fuck .... Merry Christmas to me,,,
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,,,
spam,You have 1 new voicemail. Please call 08719181503,,,
ham,"I've got ten bucks, jay is being noncomittal",,,
ham,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.,,,
ham,That one week leave i put know that time. Why.,,,
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!",,,
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",,,
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,,,
spam,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec å£1.50ea. OTBox 731 LA1 7WS. )",,,
ham,"Hi this is yijue, can i meet u at 11 tmr?",,,
ham,"Playin space poker, u?",,,
ham,"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it...",,,
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic",,,
ham,Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!,,,
spam,"URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",,,
ham,How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.IåÕm knackered and iåÕm dreading work tonight. What are thou upto tonight. X,,,
ham,O we cant see if we can join denis and mina? Or does denis want alone time,,,
ham,There the size of elephant tablets & u shove um up ur ass!!,,,
spam,Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save å£s with Free texts/weekend calls. Text YES for a callback orno to opt out,,,
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",,,
ham,Happy new year. Hope you are having a good semester,,,
ham,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,,,
ham,But i haf enuff space got like 4 mb...,,,
ham,Then why you came to hostel.,,,
ham,Hey tmr meet at bugis 930 ?,,,
ham,Went fast asleep dear.take care.,,,
ham,No let me do the math. Your not good at it.,,,
ham,Y lei?,,,
ham,DO U WANT 2 MEET UP 2MORRO,,,
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,,,
ham,Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.,,,
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only,,,
ham,Glad to see your reply.,,,
ham,Want to send me a virtual hug?... I need one,,,
ham,To day class is there are no class.,,,
ham,I've told him that i've returned it. That should i re order it.,,,
ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,,,
ham,"2 celebrate my båÕday, y else?",,,
ham,I'm going for bath will msg you next  &lt;#&gt;  min..,,,
ham,Webpage s not available!,,,
ham,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-),,,
ham,Fffff. Can you text kadeem or are you too far gone,,,
ham,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy",,,
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,,,
ham,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,,,
ham,There are many company. Tell me the language.,,,
ham,"K, text me when you're on the way",,,
spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, å£3 per pole. UnSub 08718727870.",,,
ham,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,,,
ham,What you thinked about me. First time you saw me in class.,,,
ham,He also knows about lunch menu only da. . I know,,,
ham,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is! ,,,
ham,Ok thanx...,,,
ham,"Sorry, I'll call later",,,
ham,"Hey, iouri gave me your number, I'm wylie, ryan's friend",,,
spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now,,,
ham,Wanna do some art?! :D,,,
ham,Are you driving or training?,,,
ham,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,,,
ham,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember.",,,
ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,,,
ham,Is that seriously how you spell his name?,,,
ham,Umma. Did she say anything,,,
ham,X course it 2yrs. Just so her messages on messenger lik you r sending me,,,
ham,Why do you ask princess?,,,
ham,"Come to me right now, Ahmad",,,
ham,So are you guys asking that i get that slippers again or its gone with last year,,,
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk",,,
ham,First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries,,,
ham,"What do u reckon as need 2 arrange transport if u can't do it, thanks",,,
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,,,
ham,Thanx 4 sending me home...,,,
ham,"Hey , is * rite u put åÈ10 evey mnth is that all?",,,
ham,And now electricity just went out fml.,,,
ham,You are a very very very very bad girl. Or lady.,,,
ham,"Sorry, I'll call later",,,
ham,He is a womdarfull actor,,,
ham,Hey... Very inconvenient for your sis a not huh?,,,
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",,,
ham,Yes baby! We can study all the positions of the kama sutra ;),,,
ham,Just nw i came to hme da..,,,
ham,A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die,,,
ham,* Am on a train back from northampton so i'm afraid not!,,,
ham,The battery is for mr adewale my uncle. Aka Egbon,,,
ham,No da..today also i forgot..,,,
ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early",,,
ham,What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother,,,
ham,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx,,,
spam,Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,,,
ham,Yes da. Any plm at ur office,,,
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",,,
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,,,
ham,Shuhui has bought ron's present it's a swatch watch...,,,
ham,How dare you change my ring,,,
ham,"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",,,
ham,Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x,,,
ham,Babe !!!! I LOVE YOU !!!! *covers your face in kisses*,,,
ham,"I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do.",,,
ham,Waaaat?? Lololo ok next time then!,,,
ham,Yes :)it completely in out of form:)clark also utter waste.,,,
ham,"Alright, see you in a bit",,,
ham,"It's ok, at least armand's still around",,,
ham,Then why no one talking to me,,,
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",,,
ham,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: \GOODMORNING &amp; HAVE A NICE DAY\"" :)""",,,
ham,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.,,,
ham,No need for the drug anymore.,,,
ham,Fuck cedar key and fuck her (come over anyway tho),,,
ham,Was actually about to send you a reminder today. Have a wonderful weekend,,,
ham,"K, I'll work something out",,,
ham,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students,"this wont even start........ Datz confidence..""",,
ham,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,,,
ham,Re your call; You didn't see my facebook huh?,,,
ham,Still in customer place,,,
spam,500 free text msgs. Just text ok to 80488 and we'll credit your account,,,
ham,Update your face book status frequently :),,,
ham,On the road so cant txt,,,
ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...,,,
ham,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...,,,
ham,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,,,
ham,U reach orchard already? U wan 2 go buy tickets first?,,,
ham,At what time are you coming.,,,
ham,No..but heard abt tat..,,,
ham,Nope thats fine. I might have a nap tho! ,,,
ham,I like to think there's always the possibility of being in a pub later.,,,
ham,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...",,,
ham,\HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON," CALL 2MWEN IM BK FRMCLOUD 9! J X\"""""
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,,,
spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\"""," just as a shop has to give a guarantee on what they sell. B. G.""",,
ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.,,,
ham,What class of  &lt;#&gt;  reunion?,,,
ham,It vl bcum more difficult..,,,
spam,"URGENT! Last weekend's draw shows that you have won å£1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm",,,
